epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.572506,0.965,2.34783,1.28453,0.58284,0.85,0.87794,0.63386,1.64863,1.02835,1.37299,0,0,0
2,0.966743,1.25335,3.27208,1.64543,0.5873,0.85,0.84821,0.61362,1.66496,1.01598,1.38626,1.17822e-06,1.17822e-06,1.17822e-06
3,1.22697,1.35195,3.63894,1.61309,0.59205,0.85,0.85389,0.63388,1.68848,1.01362,1.39016,2.33288e-06,2.33288e-06,2.33288e-06
4,1.50799,1.02958,2.75226,1.27704,0.57821,0.85,0.85443,0.63556,1.68788,1.01617,1.38344,3.46397e-06,3.46397e-06,3.46397e-06
5,1.76544,1.34239,3.00194,1.62672,0.6204,0.92613,0.90671,0.64117,1.68912,1.01418,1.37866,4.5715e-06,4.5715e-06,4.5715e-06
6,2.16481,0.94109,2.24926,1.21784,0.56529,0.85,0.85745,0.62829,1.68454,1.0188,1.37492,5.65548e-06,5.65548e-06,5.65548e-06
7,2.48766,1.40521,3.79216,1.74804,0.54514,0.85,0.85799,0.62827,1.67552,1.02786,1.3668,6.71588e-06,6.71588e-06,6.71588e-06
8,2.8632,1.41779,3.95543,1.79724,0.56979,0.85,0.86028,0.61361,1.69187,1.04778,1.3774,7.75273e-06,7.75273e-06,7.75273e-06
9,3.24388,1.36361,2.83962,1.47601,0.55691,0.86019,0.86139,0.62861,1.69058,1.0593,1.37503,8.76602e-06,8.76602e-06,8.76602e-06
10,3.60421,1.22912,2.40384,1.57139,0.5744,0.86417,0.82029,0.61237,1.69216,1.06334,1.37244,9.75574e-06,9.75574e-06,9.75574e-06
11,3.94386,1.06134,1.64923,1.33299,0.57307,0.86012,0.81976,0.61196,1.68677,1.06159,1.37052,1.07219e-05,1.07219e-05,1.07219e-05
12,4.28298,1.34424,2.76709,1.557,0.58081,0.86103,0.85575,0.63184,1.68611,1.06661,1.36855,1.16645e-05,1.16645e-05,1.16645e-05
