epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.17477,4.94478,11.668,1.769,0,0,0,0,4.53665,6.25642,1.27863,0.000327869,0.000327869,0.000327869
2,13.0457,4.40938,5.72908,1.2719,0,0,0,0,4.47102,4.37514,1.25407,0.00064811,0.00064811,0.00064811
3,18.8685,4.36149,5.32062,1.20865,1e-05,0.00081,1e-05,0,4.35056,4.00805,1.20795,0.000955152,0.000955152,0.000955152
4,24.0932,4.31013,5.07736,1.1795,0.00014,0.00165,7e-05,1e-05,4.39382,4.02818,1.20191,0.0009406,0.0009406,0.0009406
5,29.6047,4.29922,4.94734,1.15925,0.00027,0.01363,0.00014,4e-05,4.3561,4.05219,1.2247,0.0009208,0.0009208,0.0009208
6,35.096,4.24696,4.85572,1.15849,0.00031,0.03055,0.00018,4e-05,4.35156,3.99194,1.17697,0.000901,0.000901,0.000901
7,40.4888,4.26673,4.76431,1.15366,0.00036,0.01789,0.0002,5e-05,4.25034,4.03368,1.17413,0.0008812,0.0008812,0.0008812
8,45.9785,4.23682,4.72176,1.14192,0.0002,0.00145,0.0001,2e-05,4.53878,4.31561,1.18571,0.0008614,0.0008614,0.0008614
9,51.4551,4.18205,4.70646,1.13068,0.00048,0.03094,0.0003,7e-05,4.2163,3.99952,1.15334,0.0008416,0.0008416,0.0008416
10,56.9218,4.17315,4.68605,1.14294,0.00054,0.02746,0.00044,9e-05,4.21602,4.09378,1.15343,0.0008218,0.0008218,0.0008218
11,62.3484,4.1906,4.61385,1.15555,0.21332,0.00656,0.00253,0.00062,4.19761,4.25939,1.15583,0.000802,0.000802,0.000802
12,67.7086,4.17961,4.60394,1.13132,0.17592,0.00426,0.00164,0.00039,4.33848,4.05756,1.15803,0.0007822,0.0007822,0.0007822
13,73.1148,4.18663,4.56926,1.13898,0.36419,0.00324,0.00397,0.00132,4.19152,4.297,1.15802,0.0007624,0.0007624,0.0007624
14,78.3594,4.16624,4.53879,1.12829,0.51918,0.00413,0.00264,0.00075,4.16703,4.11122,1.14818,0.0007426,0.0007426,0.0007426
15,83.8782,4.21033,4.51188,1.12671,0.0032,0.0307,0.00288,0.00063,4.25126,4.18725,1.1376,0.0007228,0.0007228,0.0007228
16,89.3506,4.12897,4.45529,1.13366,0.00622,0.02511,0.0029,0.00071,4.24,4.0309,1.13931,0.000703,0.000703,0.000703
17,94.6424,4.16642,4.45414,1.12743,0.00377,0.05021,0.0033,0.00069,4.13878,4.19159,1.13064,0.0006832,0.0006832,0.0006832
18,100.032,4.10441,4.39947,1.12937,0.00225,0.09734,0.00282,0.00064,4.12566,3.92719,1.12425,0.0006634,0.0006634,0.0006634
