epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.88828,0.6395,3.84328,0.93961,0.01075,0.64167,0.16976,0.1581,0.38457,3.56645,0.81199,6e-05,6e-05,6e-05
2,3.136,0.52416,3.45801,0.87137,0.02413,0.97222,0.26429,0.2341,0.42551,3.35015,0.7818,0.000128713,0.000128713,0.000128713
3,4.34869,0.55,3.09507,0.89987,0.01757,1,0.28999,0.2549,0.49761,3.28453,0.78224,0.00019604,0.00019604,0.00019604
4,5.47296,0.61543,2.52684,0.8982,0.01656,1,0.32109,0.27505,0.53951,3.23899,0.78837,0.000261981,0.000261981,0.000261981
5,6.5849,0.60566,2.21384,0.9005,0.01482,1,0.38362,0.33128,0.50315,3.19188,0.78146,0.000326536,0.000326536,0.000326536
6,7.71451,0.55698,1.96492,0.9015,0.01324,1,0.46925,0.41574,0.5087,3.1415,0.78601,0.000389705,0.000389705,0.000389705
7,8.82069,0.56393,1.91648,0.88514,0.01165,1,0.44559,0.38484,0.50667,3.01326,0.78501,0.000451488,0.000451488,0.000451488
8,9.89361,0.54487,1.59502,0.8773,0.01057,1,0.45066,0.39922,0.49901,2.9736,0.77762,0.000511885,0.000511885,0.000511885
9,10.998,0.4761,2.77299,0.76427,0.98908,0.11984,0.54703,0.48636,0.51145,2.82357,0.78965,0.000570896,0.000570896,0.000570896
10,12.1931,0.50392,1.43546,0.86511,0.94342,0.12816,0.50142,0.45082,0.49932,2.80134,0.7939,0.000628521,0.000628521,0.000628521
11,13.2493,0.52447,1.27203,0.89545,0.73045,0.1582,0.61935,0.55621,0.4624,2.66105,0.79663,0.00068476,0.00068476,0.00068476
12,14.3475,0.57366,1.34778,0.86855,0.88561,0.15833,0.70959,0.62079,0.48674,2.69421,0.80938,0.000739613,0.000739613,0.000739613
13,15.3847,0.54498,1.33614,0.88318,0.85457,0.17475,0.72274,0.64299,0.49918,2.59792,0.80781,0.00079308,0.00079308,0.00079308
