epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.84422,0.82613,3.20075,1.5209,0,0,0,0,0.57659,4.45499,1.44211,0.00011,0.00011,0.00011
2,4.95973,0.80039,2.50301,1.52172,0,0,0,0,0.57806,4.35609,1.42807,0.000228482,0.000228482,0.000228482
3,6.84234,0.8615,2.12855,1.53738,0,0,0,0,0.61974,4.18602,1.46943,0.00034538,0.00034538,0.00034538
4,8.7404,0.80796,1.67457,1.48782,0,0,0,0,0.62915,3.77899,1.4636,0.000460694,0.000460694,0.000460694
5,10.7027,0.77331,1.52736,1.51543,0.14286,0.06667,0.10464,0.10099,0.63941,3.48058,1.52708,0.000574424,0.000574424,0.000574424
6,12.8379,0.78158,1.48633,1.52047,0.56312,0.44884,0.51541,0.48643,0.67288,2.92177,1.52676,0.00068657,0.00068657,0.00068657
7,14.9798,0.78347,1.39067,1.53326,0.72477,0.85236,0.84191,0.75205,0.67531,2.11577,1.50818,0.000797132,0.000797132,0.000797132
8,16.8932,0.77147,1.36007,1.54277,0.64999,0.94792,0.8666,0.77439,0.67884,1.77763,1.50138,0.00090611,0.00090611,0.00090611
9,18.9112,0.76741,1.33892,1.4755,0.86201,0.87751,0.90919,0.81508,0.60615,1.50883,1.39717,0.0009472,0.0009472,0.0009472
10,20.8349,0.78263,1.28769,1.4799,0.86343,0.77409,0.87344,0.7834,0.64356,1.24516,1.43009,0.0009406,0.0009406,0.0009406
11,22.7698,0.74636,1.21037,1.47306,0.79646,0.81551,0.83837,0.75862,0.60087,1.15397,1.40209,0.000934,0.000934,0.000934
12,24.8126,0.7612,1.22967,1.4722,0.69714,0.84365,0.87611,0.7748,0.61834,1.22615,1.44191,0.0009274,0.0009274,0.0009274
13,26.8333,0.73676,1.24483,1.41154,0.6773,0.83932,0.8251,0.7501,0.53701,1.10566,1.35971,0.0009208,0.0009208,0.0009208
14,28.7836,0.69855,1.13677,1.38884,0.82213,0.82736,0.90125,0.80376,0.574,0.92155,1.36089,0.0009142,0.0009142,0.0009142
15,30.7883,0.68841,1.08487,1.44008,0.92179,0.74017,0.89831,0.81381,0.56859,0.95952,1.3987,0.0009076,0.0009076,0.0009076
16,32.6753,0.70625,1.08463,1.38391,0.72199,0.88307,0.88363,0.78939,0.55872,1.06393,1.37947,0.000901,0.000901,0.000901
17,34.7087,0.71185,1.10295,1.42075,0.84742,0.84605,0.93285,0.83771,0.51832,0.73992,1.3216,0.0008944,0.0008944,0.0008944
18,36.6661,0.69561,1.12625,1.45041,0.78988,0.81658,0.91394,0.8151,0.56243,0.80931,1.34397,0.0008878,0.0008878,0.0008878
19,38.6042,0.6884,1.07694,1.38838,0.79557,0.79788,0.89269,0.78822,0.62631,0.91241,1.42362,0.0008812,0.0008812,0.0008812
20,40.5212,0.75567,1.12216,1.51989,0.78016,0.86791,0.89438,0.81574,0.53359,0.88798,1.32768,0.0008746,0.0008746,0.0008746
21,42.4463,0.69762,1.05552,1.37325,0.81425,0.83448,0.89351,0.7923,0.56822,0.81376,1.35797,0.000868,0.000868,0.000868
22,44.3296,0.72009,1.02896,1.42066,0.76033,0.90872,0.89212,0.8002,0.53067,0.83266,1.32851,0.0008614,0.0008614,0.0008614
23,46.1748,0.70208,0.98283,1.4118,0.74936,0.86843,0.89017,0.80938,0.51183,0.85607,1.31502,0.0008548,0.0008548,0.0008548
24,48.038,0.68008,0.99885,1.38147,0.74639,0.8969,0.90011,0.80726,0.55338,0.82595,1.33203,0.0008482,0.0008482,0.0008482
25,50.2033,0.66863,0.98343,1.33693,0.80786,0.86516,0.91115,0.81661,0.54789,0.82297,1.37166,0.0008416,0.0008416,0.0008416
26,52.1701,0.69347,0.97617,1.44279,0.82462,0.90786,0.94735,0.82833,0.56452,0.67294,1.33964,0.000835,0.000835,0.000835
27,54.1323,0.68568,0.99232,1.4313,0.83581,0.85703,0.93236,0.82422,0.5413,0.69306,1.29896,0.0008284,0.0008284,0.0008284
