epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.1912,1.19091,4.3815,1.98731,0,0,0,0,0.49994,3.85768,1.31753,0.00013,0.00013,0.00013
2,11.0635,0.72157,3.57935,1.4453,0,0,0,0,0.52041,3.69183,1.33014,0.000268931,0.000268931,0.000268931
3,15.9627,0.75242,3.24695,1.45783,0.28383,0.49966,0.33366,0.30694,0.50867,3.36126,1.30755,0.000406753,0.000406753,0.000406753
4,20.9328,0.78861,2.78921,1.48999,0.33425,0.80443,0.57683,0.52143,0.49262,3.09769,1.32429,0.000543466,0.000543466,0.000543466
5,25.8887,0.72338,2.49988,1.40868,0.44627,0.79497,0.69167,0.62667,0.52285,2.70236,1.33013,0.00067907,0.00067907,0.00067907
6,30.4149,0.73125,2.24701,1.40524,0.72753,0.75565,0.84795,0.75112,0.58672,2.09127,1.39872,0.000813566,0.000813566,0.000813566
7,34.6867,0.74197,2.02277,1.37269,0.775,0.8326,0.91982,0.82489,0.5629,1.79146,1.36804,0.000946953,0.000946953,0.000946953
8,38.9907,0.71217,1.84853,1.295,0.79853,0.78204,0.88437,0.80213,0.55092,1.61687,1.4137,0.00097228,0.00097228,0.00097228
9,43.2649,0.73968,1.81742,1.3801,0.77032,0.78645,0.88521,0.79103,0.55209,1.42769,1.32705,0.00096832,0.00096832,0.00096832
10,47.5656,0.6791,1.6083,1.32191,0.93255,0.88523,0.94242,0.83911,0.53827,1.00073,1.31932,0.00096436,0.00096436,0.00096436
11,51.8697,0.65592,1.55592,1.36829,0.89559,0.87585,0.91331,0.81381,0.53202,0.98491,1.26346,0.0009604,0.0009604,0.0009604
12,56.1851,0.65799,1.43682,1.2986,0.79261,0.85118,0.91271,0.82024,0.5278,1.02318,1.28432,0.00095644,0.00095644,0.00095644
13,60.4502,0.64181,1.3587,1.28842,0.89559,0.87567,0.9348,0.84736,0.53129,0.8512,1.27206,0.00095248,0.00095248,0.00095248
14,64.7935,0.63452,1.3403,1.32514,0.89073,0.89601,0.93227,0.84052,0.53774,0.79263,1.29312,0.00094852,0.00094852,0.00094852
15,69.0589,0.61303,1.28364,1.29056,0.93349,0.87512,0.9451,0.84661,0.52677,0.69462,1.30851,0.00094456,0.00094456,0.00094456
16,73.3653,0.67264,1.30943,1.33368,0.84776,0.92414,0.93844,0.85258,0.52088,0.7153,1.27184,0.0009406,0.0009406,0.0009406
17,77.658,0.67018,1.29349,1.30657,0.85127,0.87359,0.92991,0.83884,0.51917,0.80593,1.28257,0.00093664,0.00093664,0.00093664
18,81.9812,0.65209,1.22626,1.32894,0.9285,0.9137,0.93962,0.83988,0.49218,0.71003,1.29135,0.00093268,0.00093268,0.00093268
19,86.2893,0.65516,1.26717,1.3181,0.66191,0.88944,0.84436,0.75776,0.52106,1.05202,1.28551,0.00092872,0.00092872,0.00092872
20,90.5739,0.6442,1.18193,1.31176,0.96187,0.88796,0.94802,0.86982,0.48776,0.61654,1.24147,0.00092476,0.00092476,0.00092476
21,94.9,0.59536,1.01092,1.23744,0.9148,0.90078,0.9594,0.86889,0.49956,0.56934,1.23667,0.0009208,0.0009208,0.0009208
22,99.1812,0.60248,1.04016,1.27624,0.93678,0.89808,0.95446,0.85782,0.53436,0.59952,1.28752,0.00091684,0.00091684,0.00091684
23,103.482,0.62537,1.06259,1.30584,0.9458,0.92879,0.97006,0.86961,0.52095,0.59789,1.26502,0.00091288,0.00091288,0.00091288
24,107.857,0.59217,0.95096,1.25311,0.95162,0.92587,0.96818,0.87365,0.51416,0.57339,1.30105,0.00090892,0.00090892,0.00090892
25,112.19,0.61369,0.96357,1.32215,0.91735,0.92731,0.9585,0.87257,0.48133,0.56817,1.23994,0.00090496,0.00090496,0.00090496
26,116.525,0.65339,1.01108,1.3122,0.9257,0.88174,0.95693,0.87561,0.50152,0.65933,1.25284,0.000901,0.000901,0.000901
27,120.866,0.63794,0.94209,1.30479,0.95221,0.8588,0.9472,0.86068,0.47499,0.58143,1.24251,0.00089704,0.00089704,0.00089704
28,125.194,0.58382,0.86626,1.27039,0.9456,0.85013,0.95415,0.8629,0.53599,0.59593,1.27586,0.00089308,0.00089308,0.00089308
29,129.494,0.62654,0.90199,1.29133,0.93559,0.91578,0.9658,0.87512,0.51798,0.55562,1.2941,0.00088912,0.00088912,0.00088912
30,133.851,0.63133,0.9237,1.30816,0.9255,0.86014,0.96535,0.87311,0.53453,0.58401,1.31325,0.00088516,0.00088516,0.00088516
31,138.171,0.65945,0.91606,1.36898,0.9411,0.90214,0.96781,0.87615,0.53121,0.52126,1.25785,0.0008812,0.0008812,0.0008812
32,142.453,0.6337,0.83343,1.32024,0.92689,0.87048,0.95537,0.86568,0.53684,0.55271,1.25826,0.00087724,0.00087724,0.00087724
33,146.768,0.59646,0.80733,1.27805,0.90059,0.90605,0.9525,0.87712,0.49082,0.51519,1.26243,0.00087328,0.00087328,0.00087328
34,151.096,0.60467,0.82318,1.28565,0.90564,0.9322,0.9306,0.85967,0.48967,0.52313,1.24248,0.00086932,0.00086932,0.00086932
35,155.418,0.63785,0.81617,1.35772,0.9196,0.91245,0.95278,0.86347,0.55202,0.50694,1.26757,0.00086536,0.00086536,0.00086536
36,159.769,0.59831,0.77712,1.32799,0.87978,0.91168,0.95247,0.85844,0.56092,0.53375,1.30603,0.0008614,0.0008614,0.0008614
37,164.004,0.60712,0.74261,1.27144,0.93472,0.891,0.95238,0.86395,0.53544,0.56215,1.28989,0.00085744,0.00085744,0.00085744
38,168.292,0.5857,0.71045,1.26547,0.9421,0.88398,0.95545,0.86017,0.49726,0.55201,1.24551,0.00085348,0.00085348,0.00085348
39,172.616,0.58509,0.71358,1.27709,0.95144,0.89939,0.95989,0.87241,0.51076,0.50084,1.2282,0.00084952,0.00084952,0.00084952
