epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.84773,3.64756,5.76375,4.29262,0,0,0,0,3.4634,5.35494,4.15871,8.33e-06,8.33e-06,8.33e-06
2,4.76169,3.48496,5.7388,4.24807,0,0,0,0,3.46315,5.35433,4.1586,1.77616e-05,1.77616e-05,1.77616e-05
3,6.48409,3.63307,5.73567,4.25582,0,0,0,0,3.46265,5.35443,4.15846,2.7099e-05,2.7099e-05,2.7099e-05
4,8.39384,3.59114,5.76002,4.25015,0,0,0,0,3.46265,5.35426,4.15821,3.63422e-05,3.63422e-05,3.63422e-05
5,10.1039,3.64243,5.70769,4.24242,0,0,0,0,3.4616,5.35505,4.15864,4.54911e-05,4.54911e-05,4.54911e-05
6,11.8609,3.53216,5.71568,4.22116,0,0,0,0,3.46029,5.35598,4.15839,5.45457e-05,5.45457e-05,5.45457e-05
7,13.6089,3.60157,5.70532,4.21297,0,0,0,0,3.45832,5.3548,4.15887,6.35061e-05,6.35061e-05,6.35061e-05
8,15.3181,3.61768,5.69523,4.20419,0,0,0,0,3.45828,5.35425,4.15928,7.23723e-05,7.23723e-05,7.23723e-05
9,17.0121,3.68133,5.70353,4.20662,0,0,0,0,3.45589,5.35445,4.15957,8.11442e-05,8.11442e-05,8.11442e-05
10,18.7133,3.58683,5.71876,4.19368,0,0,0,0,3.45468,5.3556,4.15952,8.98219e-05,8.98219e-05,8.98219e-05
11,20.5076,3.47188,5.72066,4.19176,0,0,0,0,3.45259,5.35388,4.15916,9.84053e-05,9.84053e-05,9.84053e-05
12,22.3003,3.58241,5.67784,4.19383,0,0,0,0,3.4508,5.35395,4.1596,0.000106894,0.000106894,0.000106894
13,24.2352,3.57351,5.66954,4.19068,0,0,0,0,3.45199,5.35481,4.1602,0.000111931,0.000111931,0.000111931
14,25.9758,3.59576,5.68118,4.17139,0,0,0,0,3.45019,5.35563,4.1606,0.000111342,0.000111342,0.000111342
15,27.6911,3.56223,5.67286,4.1742,0,0,0,0,3.44837,5.35408,4.16082,0.000110753,0.000110753,0.000110753
16,29.3084,3.52484,5.6707,4.16775,0,0,0,0,3.44709,5.35407,4.16092,0.000110164,0.000110164,0.000110164
17,30.956,3.52597,5.70581,4.15446,0,0,0,0,3.44382,5.35379,4.15981,0.000109575,0.000109575,0.000109575
18,32.6605,3.53382,5.65537,4.14933,0,0,0,0,3.43944,5.35392,4.15772,0.000108986,0.000108986,0.000108986
